	Scientific Name	Common Name	Region	Family	First Listed	Taxonomic Group	Status	Type
158	Alectryon macrococcus	Mahoe	HI	sapindaceae	1992.0	Flowering Plants	Endangered	P
159	Aletes filifolius		NM, TX	apiaceae		Flowering Plants	Not Listed	P
160	Aletes humilis		CO, WY	apiaceae		Flowering Plants	Not Listed	P
161	alexicles aspersa			arctiidae		Insects	Not Listed	I
162	Algamorda newcombiana	Newcomb's littorine snail	CA, OR, WA	littorinidae		Snails	Not Listed	I
163	Aliciella caespitosa	Wonderland Alice-flower	UT	polemoniaceae		Flowering Plants	Not Listed	P
164	Aliciella formosa	Beautiful gilia	NM	polemoniaceae		Flowering Plants	Not Listed	P
165	Alligator mississippiensis	American alligator	FL, NC, OK	alligatoridae	1967.0	Reptiles	Similarity of Appearance to a Threatened Taxon	V
166	Allionia cristata		AZ	nyctaginaceae		Flowering Plants	Not Listed	P
167	Allium aaseae	Aase's onion	ID	liliaceae		Flowering Plants	Not Listed	P
168	Allium constrictum	 onion	WA	liliaceae		Flowering Plants	Not Listed	P
169	Allium dictuon	Blue Mountain onion	WA	liliaceae		Flowering Plants	Not Listed	P
170	Allium gooddingii	Goodding's onion	AZ, NM	liliaceae		Flowering Plants	Not Listed	P
171	allium haematochiton	Yucaipa onion		liliaceae		Flowering Plants	Not Listed	P
172	Allium hickmanii	Hickman's onion	CA	liliaceae		Flowering Plants	Not Listed	P
173	Allium hoffmanii	Beegum onion	CA	liliaceae		Flowering Plants	Not Listed	P
174	Allium jepsonii	Jepson's onion	CA	liliaceae		Flowering Plants	Not Listed	P
175	Allium madidum	 onion	ID, OR	liliaceae		Flowering Plants	Not Listed	P
176	Allium munzii	Munz's onion	CA	liliaceae	1998.0	Flowering Plants	Endangered	P
177	Allium oxyphilum	 onion	VA, WV	liliaceae		Flowering Plants	Not Listed	P
178	Allium passeyi	Passey's onion	UT	liliaceae		Flowering Plants	Not Listed	P
179	Allium perdulce sperryi	 onion	TX	liliaceae		Flowering Plants	Not Listed	P
180	Allium pleianthum	Howell's onion	OR	liliaceae		Flowering Plants	Not Listed	P
181	Allium robinsonii	 onion	OR, WA	liliaceae		Flowering Plants	Not Listed	P
182	Allium scilloides	 onion	WA	liliaceae		Flowering Plants	Not Listed	P
183	Allium shevockii	Spanish needle onion	CA	liliaceae		Flowering Plants	Not Listed	P
184	Allium speculae	 onion	AL, GA	liliaceae		Flowering Plants	Not Listed	P
185	Allium tolmiei persimile	 onion	ID	liliaceae		Flowering Plants	Not Listed	P
